@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE classe {388,185,344,111,612,041,211}


@DATA
0.0911, 0, 0.7278, 0, 0, 0.0185, 0, 0, 0, 0.0458, 0, 0, 0, 0, 0, 0.0767, 0, 0, 0, 9.965, 0, 0.305, 0, 0, 0, 0, 0, 0, 0, 0.0278, 0, 0, 0.0307, 0.71,041
0, 0, 1.8533, 0, 0, 0, 0, 0, 0, 0, 0, 0.2107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1205, 0, 0.0971, 0.1211, 0, 0.0707, 0,041
0, 0, 0.1744, 0.2725, 0, 0.05, 0, 0.6613, 0, 0, 0, 0.0822, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0486, 0, 0, 0, 0.0377, 0.1227, 0.089, 0, 0.1522, 0, 0,041
0, 0, 0.3967, 0, 0, 0.0191, 0.0908, 0, 0, 0, 0, 0, 0, 0, 0, 0.1133, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0, 0.8032, 0, 0.0896, 0.1621, 0, 0.1321, 1.77,041
0, 0, 0.1044, 0.0875, 0, 0, 0.1185, 0, 0, 0, 0, 1.9315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0167, 0, 0, 0.1243, 0,041
0, 0, 0.1889, 0, 0, 0, 0.0908, 0, 0, 0.1179, 0, 0.0452, 0, 0, 0.2378, 0, 0, 0, 0, 0, 0, 0, 0.494, 0, 0, 0, 0, 0, 0, 0.0159, 0, 0, 0.1229, 0,041
0.1367, 0.185, 1.63, 0.0745, 0, 0, 0.3408, 0, 0, 0, 0, 0.063, 0, 0, 0, 0.1172, 0, 0, 0, 0.61, 0, 0, 0, 0, 0, 0, 0, 0.1945, 0.11, 0, 0.0605, 0, 0.0307, 0.71,041
0, 0.185, 0.6944, 0, 0, 0, 0, 0, 0, 0, 0, 0.1122, 0.0635, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2.21, 0.0877, 0, 0.0345, 0, 0, 0, 0,041
0.1233, 0, 0.1044, 0, 0, 0, 0.1231, 0, 0, 0, 0, 0.0315, 0.0485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0458, 0, 0, 0, 0, 0, 0, 0, 0, 0.1207, 0,041
0.2333, 0, 0.1744, 0.1285, 0, 0.1476, 0.0908, 0.2213, 0, 0.2842, 0, 0.0315, 0, 0, 0, 0, 0, 0, 0, 0, 0.0635, 0, 0, 0, 0, 0, 0, 0, 0.1193, 0.0278, 0, 0, 0.2321, 0,041
